Project ID,Lead CI,Institution,Title,FoR-08,Gadi Allocation kSU,Setonix CPU Allocation kSU,Setonix GPU Allocation kSU,Total Allocation kSU
NCMAS-2023-81,Matthew Field,James Cook University,Developing Bioinformatics Capability to Diagnose Infectious Diseases using Clinical Metagenomics,"060102 Bioinformatics: 34%
080301 Bioinformatics Software: 33%
060503 Microbial Genetics: 33%",1000,,,1000
NCMAS-2023-1,Jared Cole,Royal Melbourne Institute of Technology,The materials science of next generation quantum devices.,"020404 Electronic and Magnetic Properties of Condensed Matter; Superconductivity: 35%
020600 Quantum Physics: 20%
020502 Lasers and Quantum Electronics: 15%
091208 Organic Semiconductors: 10%
020604 Quantum Optics: 10%
091204 Elemental Semiconductors: 10%",1000,,,1000
NCMAS-2023-22,Yuan FENG,University of NSW,Natural-disaster resilience assessment of civil infrastructure systems under climate change,"070503 Forestry Fire Management: 17%
080100 Artificial Intelligence and Image Processing: 17%
040104 Climate Change Processes: 17%
040604 Natural Hazards: 17%
090505 Infrastructure Engineering and Asset Management: 16%
090500 Civil Engineering: 16%",1000,,,1000
NCMAS-2023-137,Sean Li,University of NSW,Accelerate Functional Material Designs Using Artificial Inetelligence,"020403 Condensed Matter Modelling and Density Functional Theory: 40%
030304 Physical Chemistry of Materials: 30%
020404 Electronic and Magnetic Properties of Condensed Matter; Superconductivity: 30%",1200,,,1200
NCMAS-2023-122,Aibing Yu,Monash University,Simulation and Modelling of Particulate Systems,"090407 Process Control and Simulation: 20%
091501 Computational Fluid Dynamics: 20%
091404 Mineral Processing/Beneficiation: 20%
090406 Powder and Particle Technology: 20%
100708 Nanomaterials: 20%",1000,4000,2000,7000
NCMAS-2023-72,Sang Lee,University of South Australia,Novel whole-genome approaches to capture the latent genetic architecture of complex traits,"060412 Quantitative Genetics (incl. Disease and Trait Mapping Genetics): 20%
070200 Animal Production: 20%
070201 Animal Breeding: 20%
060400 Genetics: 20%
060408 Genomics: 20%",1000,,,1000
NCMAS-2023-56,Eduardo Eyras,Australian National University,Comprehensive characterisation of the ribosomal DNA in brain cancer,"060102 Bioinformatics: 34%
060408 Genomics: 33%
111203 Cancer Genetics: 33%",1600,,,1600
NCMAS-2023-79,Alister Page,University of Newcastle,Elucidating Nanostructured Phases with Quantum Chemistry,"030700 Theoretical and Computational Chemistry: 40%
030603 Colloid and Surface Chemistry: 30%
030304 Physical Chemistry of Materials: 30%",1500,,,1500
NCMAS-2023-52,Igor Bray,Curtin University of Technology,Atomic and Molecular Collision Theory,020201 Atomic and Molecular Physics: 100%,1700,23000,10000,34700
NCMAS-2023-24,Danial Jahed Armaghani,"University of Technology, Sydney",Exploring the dissolution and nucleation mechanism of cementitious materials at the atomic and molecular level,"020403 Condensed Matter Modelling and Density Functional Theory: 40%
090500 Civil Engineering: 35%
080110 Simulation and Modelling: 25%",,1250,,1250
NCMAS-2023-132,Ryan Holmes,University of Sydney,Mixing and air-sea coupling in the tropical Pacific: Toward improved El Nino forecasting,"040503 Physical Oceanography: 50%
040104 Climate Change Processes: 25%
040403 Geophysical Fluid Dynamics: 25%",4000,,,4000
NCMAS-2023-23,Suresh Bhatia,University of Queensland,Investigation of Transport Barriers in Next-Generation Energy Storage and Gas Separation Materials,"090499 Chemical Engineering not elsewhere classified: 60%
030607 Transport Properties and Non-Equilibrium Processes: 40%",1000,3300,,4300
NCMAS-2023-142,Christoph Arns,University of NSW,Multi-scale multi-physics modelling for geostorage applicatons,"040499 Geophysics not elsewhere classified: 30%
091406 Petroleum and Reservoir Engineering: 30%
010302 Numerical Solution of Differential and Integral Equations: 20%
040603 Hydrogeology: 20%",16000,,,16000
NCMAS-2023-34,Fabio Capitanio,Monash University,4-D Numerical Models of Plate Tectonics on Earth and other planets,"040403 Geophysical Fluid Dynamics: 34%
040402 Geodynamics: 33%
040605 Palaeoclimatology: 33%",5500,,,5500
NCMAS-2023-12,Susanna Guatelli,University of Wollongong,Development  and use of Monte Carlo particle transport simulations for bio-medical research,"029903 Medical Physics: 60%
029904 Synchrotrons; Accelerators; Instruments and Techniques: 40%",1300,,,1300
NCMAS-2023-65,Rongkun Zheng,University of Sydney,Atomistic simulation of advanced materials with combining first-principle calculation and deep-learning method: from microstructure to functionality,"020403 Condensed Matter Modelling and Density Functional Theory: 60%
091205 Functional Materials: 20%
020404 Electronic and Magnetic Properties of Condensed Matter; Superconductivity: 20%",3000,2500,1000,6500
NCMAS-2023-108,Han Huang,University of Queensland,Developing a high performance lapping technology for difficult-to-machine brittle materials,"091300 Mechanical Engineering: 80%
090400 Chemical Engineering: 20%",1000,,,1000
NCMAS-2023-117,Nicolas Flament,University of Wollongong,4D relationships between supercontinents and mantle convection on a cooling Earth,"040402 Geodynamics: 65%
040313 Tectonics: 25%
040314 Volcanology: 10%",1000,,,1000
NCMAS-2023-87,Jason Evans,University of NSW,Regional Climate Modelling in Australia,"040104 Climate Change Processes: 50%
040100 Atmospheric Sciences: 25%
040608 Surfacewater Hydrology: 15%
050101 Ecological Impacts of Climate Change: 10%",2600,7500,,10100
NCMAS-2023-104,Con Doolan,University of NSW,Aeroacoustics of low and high Mach number flows,"091301 Acoustics and Noise Control (excl. Architectural Acoustics): 50%
091508 Turbulent Flows: 50%",1000,,,1000
NCMAS-2023-13,Gregory Sheard,Monash University,Two-dimensionalisation of MHD turbulence and ultimate horizontal convection regimes,"091502 Computational Heat Transfer: 50%
091501 Computational Fluid Dynamics: 30%
091504 Fluidisation and Fluid Mechanics: 20%",1000,1000,,2000
NCMAS-2023-10,Mark Krumholz,Australian National University,Star Formation and Feedback in a Turbulent Interstellar Medium,"020103 Cosmology and Extragalactic Astronomy: 35%
020104 Galactic Astronomy: 35%
020110 Stellar Astronomy and Planetary Systems: 20%
020106 High Energy Astrophysics; Cosmic Rays: 10%",8000,4000,8400,20400
NCMAS-2023-147,Brian Yates,University of Tasmania,Designing Better Catalysts,"030207 Transition Metal Chemistry: 25%
030601 Catalysis and Mechanisms of Reactions: 25%
030701 Quantum Chemistry: 25%
039904 Organometallic Chemistry: 25%",1000,,,1000
NCMAS-2023-50,Katrin Meissner,University of NSW,"Abrupt climate change events in the past, present and future","040104 Climate Change Processes: 50%
040605 Palaeoclimatology: 20%
040503 Physical Oceanography: 20%
040502 Chemical Oceanography: 5%
040501 Biological Oceanography: 5%",7000,,,7000
NCMAS-2023-100,Marco Fronzi,"University of Technology, Sydney",Quantum mechanics and machine learning models for novel 2-dimensional van der Waals materials discovery,"020403 Condensed Matter Modelling and Density Functional Theory: 25%
091205 Functional Materials: 25%
100708 Nanomaterials: 25%
030307 Theory and Design of Materials: 25%",1500,,,1500
NCMAS-2023-107,Catherine Stampfl,University of Sydney,"First-Principles Investigations of Processes and Properties in Catalysis, Coatings, and Devices","030307 Theory and Design of Materials: 35%
020404 Electronic and Magnetic Properties of Condensed Matter; Superconductivity: 25%
030601 Catalysis and Mechanisms of Reactions: 25%
010506 Statistical Mechanics, Physical Combinatorics and Mathematical Aspects of Condensed Matter: 15%",1500,3000,,4500
NCMAS-2023-39,Joel Brugger,Monash University,Thermodynamics of the Earth’s metal factory,"040200 Geochemistry: 70%
091400 Resources Engineering and Extractive Metallurgy: 30%",,1000,,1000
NCMAS-2023-44,Richard Sandberg,University of Melbourne,High-fidelity simulations of turbulent flows in power generation and transport,"091508 Turbulent Flows: 50%
091501 Computational Fluid Dynamics: 30%
091502 Computational Heat Transfer: 20%",3600,13000,34000,50600
NCMAS-2023-144,Maria Forsyth,Deakin University,Molecular design of electrolyte materials for energy storage and corrosion protection applications,"091205 Functional Materials: 20%
020403 Condensed Matter Modelling and Density Functional Theory: 20%
020405 Soft Condensed Matter: 20%
030304 Physical Chemistry of Materials: 20%
030607 Transport Properties and Non-Equilibrium Processes: 20%",1000,,,1000
NCMAS-2023-55,Rey Cheng Chin,University of Adelaide,Numerical simulations of rough wall turbulence: A control's approach,091508 Turbulent Flows: 100%,1000,11000,,12000
NCMAS-2023-2,Qiushi Guan,CSIRO,Hydrofluoric acid in geo-fluids under high pressure and temperature,040200 Geochemistry: 100%,,1000,,1000
NCMAS-2023-21,Hugh Blackburn,Monash University,Simulation of Transitional and Turbulent Flows for Engineering Applications,"010204 Dynamical Systems in Applications: 25%
010207 Theoretical and Applied Mechanics: 25%
091508 Turbulent Flows: 25%
090101 Aerodynamics (excl. Hypersonic Aerodynamics): 25%",1000,2200,,3200
NCMAS-2023-51,Luming Shen,University of Sydney,Multiscale modelling of multiphase interaction in micro- and nano-porous media,"091402 Geomechanics and Resources Geotechnical Engineering: 60%
091307 Numerical Modelling and Mechanical Characterisation: 40%",1000,,,1000
NCMAS-2023-115,Richmond Lee,University of Wollongong,Computationally-Guided Catalysis & Molecular Design,"030601 Catalysis and Mechanisms of Reactions: 34%
030699 Physical Chemistry not elsewhere classified: 33%
030505 Physical Organic Chemistry: 33%",1000,,,1000
NCMAS-2023-17,Hongtao Zhu,University of Wollongong,Carbon Based Tribofilm to improve Engine Performance,"091309 Tribology: 50%
091307 Numerical Modelling and Mechanical Characterisation: 50%",1066,,,1066
NCMAS-2023-112,Callum Shakespeare,Australian National University,Parameterising unresolved ocean dynamics and thermodynamics,"040403 Geophysical Fluid Dynamics: 50%
040503 Physical Oceanography: 50%",1500,,,1500
NCMAS-2023-90,Naotsugu Tsuchiya,Monash University,Computational approaches towards the neuronal basis of consciousness,"170112 Sensory Processes, Perception and Performance: 60%
110906 Sensory Systems: 30%
170201 Computer Perception, Memory and Attention: 10%",,1300,,1300
